wellbore;md;kh_kl;kv_kl;well_id;phi_best;clean_litho;grain_density;grain_size;sorting;cement
1_3-6;2921;0,55;0,06;1521;15,9;sandstone;2,7;very fine grained fine grained;well sorted;cemented
1_3-6;2921,25;4,71;0,05;1521;16,1;sandstone;2,69;very fine grained fine grained;well sorted;cemented
1_3-6;2921,75;7,62;2,46;1521;22;sandstone;2,67;fine grained medium grained;medium sorted;cemented
1_3-6;2922;12,14;2,46;1521;23,2;sandstone;2,66;very fine grained fine grained;well sorted;cemented
1_3-6;2922,25;3,38;0,55;1521;22;sandstone;2,68;very fine grained fine grained;very well sorted;cemented
1_3-6;2922,5;3,92;1,01;1521;19,5;sandstone;2,67;very fine grained medium grained;medium sorted;cemented
1_3-6;2923;0,41;0,35;1521;19;sandstone;2,68;very fine grained fine grained;well sorted;cemented
1_3-6;2923,5;10,21;2,3;1521;23,7;sandstone;2,66;fine grained;well sorted;cemented
1_3-6;2923,75;11,46;7,05;1521;21,8;sandstone;2,66;fine grained medium grained;medium sorted;cemented
1_3-6;2924;9,71;12,05;1521;21,9;sandstone;2,65;fine grained;well sorted;cemented
1_3-6;2924,25;0,88;0,2;1521;20,7;sandstone;2,69;fine grained medium grained;medium sorted medium;cemented
1_3-6;2924,75;0,31;0,22;1521;17;sandstone;2,68;fine grained;medium sorted;cemented
1_3-6;2925;0,07;0,04;1521;9,4;sandstone;2,67;fine grained medium grained;medium sorted;cemented
1_3-8;5024,75;0,95;0,45;2829;16,4;sandstone;2,63;very fine grained fine grained;well sorted;very well cemented
1_3-8;5025,5;0,04;0,02;2829;11,1;sandstone;2,67;very fine grained fine grained;well sorted;very well cemented
1_3-8;5026,5;1,52;1,16;2829;18,1;sandstone;2,64;very fine grained fine grained;well sorted;very well cemented
1_3-8;5027,5;0,92;0,31;2829;17,2;sandstone;2,64;very fine grained fine grained;well sorted;very well cemented
1_3-8;5028,5;0,09;0,1;2829;9,2;sandstone;2,73;very fine grained fine grained;well sorted;very well cemented
1_3-8;5029,25;0,67;0,1;2829;15,5;sandstone;2,64;very fine grained fine grained;well sorted;very well cemented
1_3-8;5030,75;1,17;0,81;2829;16,8;sandstone;2,63;fine grained;well sorted;very well cemented
1_3-8;5031,25;0,02;0,02;2829;3,8;sandstone;2,81;very fine grained;well sorted;very well cemented
1_3-8;5032,5;0,18;0,02;2829;6,2;sandstone;2,76;very fine grained fine grained;well sorted;very well cemented
1_3-8;5035,25;0,02;0,02;2829;11;sandstone;2,68;very fine grained;well sorted;very well cemented
1_3-8;5036,5;0,02;0,03;2829;11,1;sandstone;2,69;very fine grained fine grained;well sorted;very well cemented
1_3-8;5037,5;0,02;0,02;2829;11,3;sandstone;2,66;very fine grained fine grained;well sorted;very well cemented
1_3-8;5038,5;0,21;0,06;2829;13,5;sandstone;2,64;very fine grained;well sorted;very well cemented
1_3-9-ST2;4273,33;132;118;3362;26,1;sandstone;2,64;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4274,33;6,32;17,5;3362;18,9;sandstone;2,66;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4275,33;43,2;31,5;3362;23,5;sandstone;2,64;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4276,33;16,6;3,94;3362;18,7;sandstone;2,67;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4277,33;87,6;84,8;3362;24,6;sandstone;2,64;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4278,33;85,5;39;3362;23,5;sandstone;2,63;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4279,33;27,3;26,4;3362;19,8;sandstone;2,75;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4280,33;28,1;10,6;3362;20,4;sandstone;2,67;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4281,33;9,3;2,24;3362;18,3;sandstone;2,66;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4282,33;5,74;1,65;3362;17,3;sandstone;2,67;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4283,33;6,31;5,12;3362;18,4;sandstone;2,66;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4284,33;3,65;1,46;3362;15,9;sandstone;2,67;very fine grained fine grained;well sorted;well cemented
1_3-9-ST2;4285,33;54,6;26,8;3362;22,4;sandstone;2,66;very fine grained fine grained;well sorted;well cemented
