wellbore;md_top;md_bottom;formation;Level;npd_litho_id;npd_id
1/2-1;3059;3121;BALDER FM;FORMATION;6;1382
1/2-1;3121;3275;FORTIES FM;FORMATION;44;1382
1/2-1;3275;3335;LISTA FM;FORMATION;95;1382
1/2-1;3335;3407;MAUREEN FM;FORMATION;102;1382
1/2-1;3407;3514;EKOFISK FM;FORMATION;33;1382
1/2-1;3514;3574;TOR FM;FORMATION;171;1382
1/2-2;3077;3094;BALDER FM;FORMATION;6;5192
1/2-2;3094;3135;SELE FM;FORMATION;142;5192
1/2-2;3135;3296;FORTIES FM;FORMATION;44;5192
1/2-2;3296;3368;LISTA FM;FORMATION;95;5192
1/2-2;3368;3418;MAUREEN FM;FORMATION;102;5192
1/2-2;3418;3434;EKOFISK FM;FORMATION;33;5192
1/3-1;2995;3006;BALDER FM;FORMATION;6;154
1/3-1;3006;3013;SELE FM;FORMATION;142;154
1/3-1;3013;3095;LISTA FM;FORMATION;95;154
1/3-1;3095;3147;VIDAR FM;FORMATION;187;154
1/3-1;3147;3209;LISTA FM;FORMATION;95;154
1/3-1;3209;3258;VÅLE FM;FORMATION;190;154
1/3-1;3258;3354;EKOFISK FM;FORMATION;33;154
1/3-1;3354;3828;TOR FM;FORMATION;171;154
1/3-1;3828;4343;HOD FM;FORMATION;66;154
1/3-1;4343;4371;BLODØKS FM;FORMATION;13;154
1/3-1;4371;4441;HIDRA FM;FORMATION;65;154
1/3-1;4441;4482;RØDBY FM;FORMATION;137;154
1/3-1;4482;4671;SOLA FM;FORMATION;152;154
1/3-2;2964;2978;BALDER FM;FORMATION;6;165
1/3-2;2978;3067;SELE FM;FORMATION;142;165
1/3-2;3067;3136;LISTA FM;FORMATION;95;165
1/3-2;3136;3207;VÅLE FM;FORMATION;190;165
1/3-2;3207;3270;EKOFISK FM;FORMATION;33;165
1/3-2;3270;3729;TOR FM;FORMATION;171;165
1/3-2;3729;4024;HOD FM;FORMATION;66;165
1/3-2;4024;4060;BLODØKS FM;FORMATION;13;165
1/3-2;4060;4131;HIDRA FM;FORMATION;65;165
1/3-2;4131;4229;RØDBY FM;FORMATION;137;165
1/3-2;4229;4297;SOLA FM;FORMATION;152;165
1/3-3;2936;2984;BALDER FM;FORMATION;6;87
1/3-3;2984;2991;SELE FM;FORMATION;142;87
1/3-3;2991;3059;LISTA FM;FORMATION;95;87
1/3-3;3059;3148;VIDAR FM;FORMATION;187;87
1/3-3;3148;3180;LISTA FM;FORMATION;95;87
1/3-3;3180;3201;VÅLE FM;FORMATION;190;87
1/3-3;3201;3288;EKOFISK FM;FORMATION;33;87
1/3-3;3288;3803;TOR FM;FORMATION;171;87
1/3-3;3803;3852;HOD FM;FORMATION;66;87
1/3-3;3852;3887;BLODØKS FM;FORMATION;13;87
1/3-3;3887;4043;RØDBY FM;FORMATION;137;87
1/3-3;4043;4112;MANDAL FM;FORMATION;101;87
1/3-3;4112;4178;FARSUND FM;FORMATION;39;87
1/3-3;4178;4324;ULA FM;FORMATION;179;87
1/3-3;4324;4435;NO FORMAL NAME;FORMATION;111;87
1/3-3;4435;4542;ULA FM;FORMATION;179;87
1/3-3;4542;4620;BRYNE FM;FORMATION;19;87
1/3-3;4620;4820;SMITH BANK FM;FORMATION;149;87
