,Unnamed: 0,md,kh_kl,kv_kl,well_id,phi_best,clean_litho,grain_density,grain_size,sorting,cement,cement_grade,wellbore_y,formation,Level,npd_litho_id,coor_ns,coor_ew,npd_id
0,0,2921.0,0.55,0.06,1521,15.9,sandstone,2.7,very fine grained fine grained,well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
1,1,2921.25,4.71,0.05,1521,16.1,sandstone,2.69,very fine grained fine grained,well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
2,2,2921.75,7.62,2.46,1521,22.0,sandstone,2.67,fine grained medium grained,medium sorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
3,3,2922.0,12.14,2.46,1521,23.2,sandstone,2.66,very fine grained fine grained,well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
4,4,2922.25,3.38,0.55,1521,22.0,sandstone,2.68,very fine grained fine grained,very well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
5,5,2922.5,3.92,1.01,1521,19.5,sandstone,2.67,very fine grained medium grained,medium sorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
6,6,2923.0,0.41,0.35,1521,19.0,sandstone,2.68,very fine grained fine grained,well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
7,7,2923.5,10.21,2.3,1521,23.7,sandstone,2.66,fine grained,well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
8,8,2923.75,11.46,7.05,1521,21.8,sandstone,2.66,fine grained medium grained,medium sorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
9,9,2924.0,9.71,12.05,1521,21.9,sandstone,2.65,fine grained,well cementedsorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
10,10,2924.25,0.88,0.2,1521,20.7,sandstone,2.69,fine grained medium grained,medium sorted medium,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
11,11,2924.75,0.31,0.22,1521,17.0,sandstone,2.68,fine grained,medium sorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
12,12,2925.0,0.07,0.04,1521,9.4,sandstone,2.67,fine grained medium grained,medium sorted,cemented,6,1/3-6,FORTIES FM,FORMATION,44,56.93747800000001,2.705781,1521
13,13,5024.75,0.95,0.45,2829,16.4,sandstone,2.63,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
14,14,5025.5,0.04,0.02,2829,11.1,sandstone,2.67,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
15,15,5026.5,1.52,1.16,2829,18.1,sandstone,2.64,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
16,16,5027.5,0.92,0.31,2829,17.2,sandstone,2.64,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
17,17,5028.5,0.09,0.1,2829,9.2,sandstone,2.73,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
18,18,5029.25,0.67,0.1,2829,15.5,sandstone,2.64,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
19,19,5030.75,1.17,0.81,2829,16.8,sandstone,2.63,fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
20,20,5031.25,0.02,0.02,2829,3.8,sandstone,2.81,very fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
21,21,5032.5,0.18,0.02,2829,6.2,sandstone,2.76,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
22,22,5035.25,0.02,0.02,2829,11.0,sandstone,2.68,very fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
23,23,5036.5,0.02,0.03,2829,11.1,sandstone,2.69,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
24,24,5037.5,0.02,0.02,2829,11.3,sandstone,2.66,very fine grained fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
25,25,5038.5,0.21,0.06,2829,13.5,sandstone,2.64,very fine grained,well cementedsorted,very well cemented,2,1/3-8,ULA FM,FORMATION,179,56.86865,2.889097,2829
26,26,4273.33,132.0,118.0,3362,26.1,sandstone,2.64,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
27,27,4274.33,6.32,17.5,3362,18.9,sandstone,2.66,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
28,28,4275.33,43.2,31.5,3362,23.5,sandstone,2.64,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
29,29,4276.33,16.6,3.94,3362,18.7,sandstone,2.67,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
30,30,4277.33,87.6,84.8,3362,24.6,sandstone,2.64,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
31,31,4278.33,85.5,39.0,3362,23.5,sandstone,2.63,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
32,32,4279.33,27.3,26.4,3362,19.8,sandstone,2.75,very fine grained fine grained,well cementedsorted,well cemented,4,1/3-9 S,ULA FM,FORMATION,179,56.982769,2.958703,3362
