wlbName,lsuCoreLenght,lsuName,lsuLevel,wlbCompletionDate,lsuNpdidLithoStrat,wlbNpdidWellbore,datesyncNPD
1/2-1,50,ROGALAND GP,GROUP,04.06.1989,131,1382,17.09.2019
1/2-1,44,FORTIES FM,FORMATION,04.06.1989,44,1382,17.09.2019
1/2-1,5,BALDER FM,FORMATION,04.06.1989,6,1382,17.09.2019
1/2-2,45,FORTIES FM,FORMATION,02.02.2006,44,5192,17.09.2019
1/2-2,45,ROGALAND GP,GROUP,02.02.2006,131,5192,17.09.2019
1/3-1,19,SHETLAND GP,GROUP,11.11.1968,143,154,17.09.2019
1/3-1,19,TOR FM,FORMATION,11.11.1968,171,154,17.09.2019
1/3-2,0,TOR FM,FORMATION,27.07.1969,171,165,17.09.2019
1/3-2,0,SHETLAND GP,GROUP,27.07.1969,143,165,17.09.2019
1/3-3,18,TYNE GP,GROUP,24.03.1983,177,87,17.09.2019
1/3-3,67,ULA FM,FORMATION,24.03.1983,179,87,17.09.2019
1/3-3,67,VESTLAND GP,GROUP,24.03.1983,186,87,17.09.2019
1/3-3,18,FARSUND FM,FORMATION,24.03.1983,39,87,17.09.2019
1/3-4,9,EKOFISK FM,FORMATION,08.05.1983,33,2,17.09.2019
1/3-4,1,TOR FM,FORMATION,08.05.1983,171,2,17.09.2019
1/3-4,10,SHETLAND GP,GROUP,08.05.1983,143,2,17.09.2019
1/3-5,9,ROTLIEGEND GP,GROUP,11.02.1985,136,223,17.09.2019
1/3-6,8,ROGALAND GP,GROUP,22.06.1991,131,1521,17.09.2019
1/3-6,8,FORTIES FM,FORMATION,22.06.1991,44,1521,17.09.2019
1/3-7,64,FORTIES FM,FORMATION,25.05.1995,44,2505,17.09.2019
1/3-7,75,ROGALAND GP,GROUP,25.05.1995,131,2505,17.09.2019
1/3-7,11,SELE FM,FORMATION,25.05.1995,142,2505,17.09.2019
1/3-8,15,ULA FM,FORMATION,27.05.1997,179,2829,17.09.2019
1/3-8,15,VESTLAND GP,GROUP,27.05.1997,186,2829,17.09.2019
1/3-9 S,105,ULA FM,FORMATION,31.07.1998,179,3362,17.09.2019
1/3-9 S,105,VESTLAND GP,GROUP,31.07.1998,186,3362,17.09.2019
1/3-10,23,SELE FM,FORMATION,07.01.2008,142,5614,17.09.2019
1/3-10,73,ROGALAND GP,GROUP,07.01.2008,131,5614,17.09.2019
1/3-10,46,FORTIES FM,FORMATION,07.01.2008,44,5614,17.09.2019
1/3-10,4,LISTA FM,FORMATION,07.01.2008,95,5614,17.09.2019
1/3-11,12,LISTA FM,FORMATION,30.08.2008,95,5806,17.09.2019
1/3-11,29,FORTIES FM,FORMATION,30.08.2008,44,5806,17.09.2019
1/3-11,29,ANDREW FM,FORMATION,30.08.2008,5,5806,17.09.2019
1/3-11,94,ROGALAND GP,GROUP,30.08.2008,131,5806,17.09.2019
1/3-11,24,SELE FM,FORMATION,30.08.2008,142,5806,17.09.2019
1/3-12 S,8,SKAGERRAK FM,FORMATION,22.07.2010,146,6260,17.09.2019
1/3-12 S,8,NO GROUP DEFINED,GROUP,22.07.2010,208,6260,17.09.2019
1/6-1,5,CROMER KNOLL GP,GROUP,26.11.1972,23,239,17.09.2019
1/6-1,12,EKOFISK FM,FORMATION,26.11.1972,33,239,17.09.2019
1/6-1,12,SHETLAND GP,GROUP,26.11.1972,143,239,17.09.2019
1/6-2,15,SHETLAND GP,GROUP,12.01.1973,143,240,17.09.2019
1/6-2,15,TOR FM,FORMATION,12.01.1973,171,240,17.09.2019
1/6-3,114,TOR FM,FORMATION,11.09.1974,171,241,17.09.2019
1/6-3,229,SHETLAND GP,GROUP,11.09.1974,143,241,17.09.2019
1/6-3,115,EKOFISK FM,FORMATION,11.09.1974,33,241,17.09.2019
1/6-5,0,EKOFISK FM,FORMATION,02.09.1990,33,1508,17.09.2019
1/6-5,9,ZECHSTEIN GP,GROUP,02.09.1990,194,1508,17.09.2019
1/6-5,4,SHETLAND GP,GROUP,02.09.1990,143,1508,17.09.2019
1/6-5,4,TOR FM,FORMATION,02.09.1990,171,1508,17.09.2019
1/6-6,10,SMITH BANK FM,FORMATION,08.03.1993,149,1839,17.09.2019
1/6-6,10,NO GROUP DEFINED,GROUP,08.03.1993,208,1839,17.09.2019
1/6-7,19,EKOFISK FM,FORMATION,12.07.1992,33,1928,17.09.2019
1/6-7,46,HAUGESUND FM,FORMATION,12.07.1992,57,1928,17.09.2019
1/6-7,19,SHETLAND GP,GROUP,12.07.1992,143,1928,17.09.2019
1/6-7,46,TYNE GP,GROUP,12.07.1992,177,1928,17.09.2019
1/9-1,128,TOR FM,FORMATION,17.02.1977,171,243,17.09.2019
1/9-1,193,SHETLAND GP,GROUP,17.02.1977,143,243,17.09.2019
1/9-1,8,HOD FM,FORMATION,17.02.1977,66,243,17.09.2019
1/9-1,56,EKOFISK FM,FORMATION,17.02.1977,33,243,17.09.2019
1/9-2,63,EKOFISK FM,FORMATION,12.08.1977,33,244,17.09.2019
1/9-2,88,SHETLAND GP,GROUP,12.08.1977,143,244,17.09.2019
1/9-2,25,TOR FM,FORMATION,12.08.1977,171,244,17.09.2019
1/9-3 R,50,TOR FM,FORMATION,30.09.1978,171,246,17.09.2019
1/9-3 R,69,SHETLAND GP,GROUP,30.09.1978,143,246,17.09.2019
1/9-3 R,27,ROGALAND GP,GROUP,30.09.1978,131,246,17.09.2019
1/9-3 R,27,MAUREEN FM,FORMATION,30.09.1978,102,246,17.09.2019
