wlbName,lsuTopDepth,lsuBottomDepth,lsuName,lsuLevel,lsuNpdidLithoStrat,wlbCompletionDate,wlbNpdidWellbore,IsuWellboreUpdatedDate,datesyncNPD
1/2-1,94,1777,NORDLAND GP,GROUP,113,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,1777,3059,HORDALAND GP,GROUP,67,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3059,3121,BALDER FM,FORMATION,6,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3059,3407,ROGALAND GP,GROUP,131,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3121,3275,FORTIES FM,FORMATION,44,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3275,3335,LISTA FM,FORMATION,95,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3335,3407,MAUREEN FM,FORMATION,102,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3407,3574,SHETLAND GP,GROUP,143,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3407,3514,EKOFISK FM,FORMATION,33,04.06.1989,1382,29.05.2019,17.09.2019
1/2-1,3514,3574,TOR FM,FORMATION,171,04.06.1989,1382,29.05.2019,17.09.2019
1/2-2,114,1675,NORDLAND GP,GROUP,113,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,1675,3077,HORDALAND GP,GROUP,67,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3077,3094,BALDER FM,FORMATION,6,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3077,3418,ROGALAND GP,GROUP,131,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3094,3135,SELE FM,FORMATION,142,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3135,3296,FORTIES FM,FORMATION,44,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3296,3368,LISTA FM,FORMATION,95,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3368,3418,MAUREEN FM,FORMATION,102,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3418,3434,SHETLAND GP,GROUP,143,02.02.2006,5192,29.05.2019,17.09.2019
1/2-2,3418,3434,EKOFISK FM,FORMATION,33,02.02.2006,5192,29.05.2019,17.09.2019
1/3-1,97,2995,NORDLAND GP,GROUP,113,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,2995,3258,ROGALAND GP,GROUP,131,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,2995,3006,BALDER FM,FORMATION,6,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3006,3013,SELE FM,FORMATION,142,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3013,3095,LISTA FM,FORMATION,95,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3095,3147,VIDAR FM,FORMATION,187,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3147,3209,LISTA FM,FORMATION,95,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3209,3258,VÅLE FM,FORMATION,190,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3258,3354,EKOFISK FM,FORMATION,33,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3258,4441,SHETLAND GP,GROUP,143,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3354,3828,TOR FM,FORMATION,171,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,3828,4343,HOD FM,FORMATION,66,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,4343,4371,BLODØKS FM,FORMATION,13,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,4371,4441,HIDRA FM,FORMATION,65,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,4441,4671,CROMER KNOLL GP,GROUP,23,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,4441,4482,RØDBY FM,FORMATION,137,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,4482,4671,SOLA FM,FORMATION,152,11.11.1968,154,29.05.2019,17.09.2019
1/3-1,4671,4877,ZECHSTEIN GP,GROUP,194,11.11.1968,154,29.05.2019,17.09.2019
1/3-2,98,1533,NORDLAND GP,GROUP,113,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,1533,2964,HORDALAND GP,GROUP,67,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,2964,2978,BALDER FM,FORMATION,6,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,2964,3207,ROGALAND GP,GROUP,131,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,2978,3067,SELE FM,FORMATION,142,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,3067,3136,LISTA FM,FORMATION,95,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,3136,3207,VÅLE FM,FORMATION,190,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,3207,3270,EKOFISK FM,FORMATION,33,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,3207,4131,SHETLAND GP,GROUP,143,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,3270,3729,TOR FM,FORMATION,171,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,3729,4024,HOD FM,FORMATION,66,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,4024,4060,BLODØKS FM,FORMATION,13,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,4060,4131,HIDRA FM,FORMATION,65,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,4131,4297,CROMER KNOLL GP,GROUP,23,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,4131,4229,RØDBY FM,FORMATION,137,27.07.1969,165,29.05.2019,17.09.2019
1/3-2,4229,4297,SOLA FM,FORMATION,152,27.07.1969,165,29.05.2019,17.09.2019
1/3-3,93,1647,NORDLAND GP,GROUP,113,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,1647,2936,HORDALAND GP,GROUP,67,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,2936,2984,BALDER FM,FORMATION,6,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,2936,3201,ROGALAND GP,GROUP,131,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,2984,2991,SELE FM,FORMATION,142,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,2991,3059,LISTA FM,FORMATION,95,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3059,3148,VIDAR FM,FORMATION,187,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3148,3180,LISTA FM,FORMATION,95,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3180,3201,VÅLE FM,FORMATION,190,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3201,3288,EKOFISK FM,FORMATION,33,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3201,3887,SHETLAND GP,GROUP,143,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3288,3803,TOR FM,FORMATION,171,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3803,3852,HOD FM,FORMATION,66,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3852,3887,BLODØKS FM,FORMATION,13,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3887,4043,RØDBY FM,FORMATION,137,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,3887,4043,CROMER KNOLL GP,GROUP,23,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4043,4112,MANDAL FM,FORMATION,101,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4043,4178,TYNE GP,GROUP,177,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4112,4178,FARSUND FM,FORMATION,39,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4178,4324,ULA FM,FORMATION,179,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4178,4620,VESTLAND GP,GROUP,186,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4324,4435,NO FORMAL NAME,FORMATION,111,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4435,4542,ULA FM,FORMATION,179,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4542,4620,BRYNE FM,FORMATION,19,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4620,4820,NO GROUP DEFINED,GROUP,208,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4620,4820,SMITH BANK FM,FORMATION,149,24.03.1983,87,29.05.2019,17.09.2019
1/3-3,4820,4876,ZECHSTEIN GP,GROUP,194,24.03.1983,87,29.05.2019,17.09.2019
1/3-4,97,1580,NORDLAND GP,GROUP,113,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,1580,2617,HORDALAND GP,GROUP,67,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2617,2629,BALDER FM,FORMATION,6,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2617,2754,ROGALAND GP,GROUP,131,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2629,2647,SELE FM,FORMATION,142,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2647,2676,LISTA FM,FORMATION,95,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2676,2688,VIDAR FM,FORMATION,187,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2688,2724,LISTA FM,FORMATION,95,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2724,2754,VÅLE FM,FORMATION,190,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2754,2797,EKOFISK FM,FORMATION,33,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2754,3160,SHETLAND GP,GROUP,143,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,2797,3123,TOR FM,FORMATION,171,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,3123,3160,HOD FM,FORMATION,66,08.05.1983,2,29.05.2019,17.09.2019
1/3-4,3160,3198,ZECHSTEIN GP,GROUP,194,08.05.1983,2,29.05.2019,17.09.2019
1/3-5,106,1075,NORDLAND GP,GROUP,113,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,1075,3062,HORDALAND GP,GROUP,67,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3062,3070,BALDER FM,FORMATION,6,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3062,3288,ROGALAND GP,GROUP,131,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3070,3078,SELE FM,FORMATION,142,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3078,3153,LISTA FM,FORMATION,95,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3153,3206,VIDAR FM,FORMATION,187,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3206,3245,LISTA FM,FORMATION,95,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3245,3288,VÅLE FM,FORMATION,190,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3288,3384,EKOFISK FM,FORMATION,33,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3288,4580,SHETLAND GP,GROUP,143,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3384,3858,TOR FM,FORMATION,171,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,3858,4568,HOD FM,FORMATION,66,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4568,4580,HIDRA FM,FORMATION,65,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4580,4734,CROMER KNOLL GP,GROUP,23,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4580,4604,RØDBY FM,FORMATION,137,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4604,4625,SOLA FM,FORMATION,152,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4625,4734,ÅSGARD FM,FORMATION,198,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4734,4769,ZECHSTEIN GP,GROUP,194,11.02.1985,223,29.05.2019,17.09.2019
1/3-5,4769,4850,ROTLIEGEND GP,GROUP,136,11.02.1985,223,29.05.2019,17.09.2019
1/3-6,97,1600,NORDLAND GP,GROUP,113,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,1600,2823,HORDALAND GP,GROUP,67,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,2823,2836,BALDER FM,FORMATION,6,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,2823,3103,ROGALAND GP,GROUP,131,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,2836,2914,SELE FM,FORMATION,142,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,2914,2999,FORTIES FM,FORMATION,44,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,2999,3103,VÅLE FM,FORMATION,190,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,3103,3201,EKOFISK FM,FORMATION,33,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,3103,3586,SHETLAND GP,GROUP,143,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,3201,3530,TOR FM,FORMATION,171,22.06.1991,1521,29.05.2019,17.09.2019
1/3-6,3530,3586,HOD FM,FORMATION,66,22.06.1991,1521,29.05.2019,17.09.2019
1/3-7,117,1655,NORDLAND GP,GROUP,113,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,1655,3084,HORDALAND GP,GROUP,67,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,3084,3102,BALDER FM,FORMATION,6,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,3084,3345,ROGALAND GP,GROUP,131,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,3102,3175,SELE FM,FORMATION,142,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,3175,3260,FORTIES FM,FORMATION,44,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,3260,3315,LISTA FM,FORMATION,95,25.05.1995,2505,29.05.2019,17.09.2019
1/3-7,3315,3345,VÅLE FM,FORMATION,190,25.05.1995,2505,29.05.2019,17.09.2019
1/3-8,110,1902,NORDLAND GP,GROUP,113,27.05.1997,2829,29.05.2019,17.09.2019
