wlbWellboreName,wlbWell,wlbWellType,wlbPurpose,wlbDrillingOperator,wlbProductionLicence,wlbDrillingFacility,wlbEntryDate,wlbCompletionDate,wlbDrillPermit,wlbTotalDepth,wlbKellyBushElevation,wlbWaterDepth,wlbMainArea,wlbEntryYear,wlbCompletionYear,wlbSiteSurvey,wlbSeismicLocation,wlbGeodeticDatum,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbNpdidWellbore,wlbNpdidSiteSurvey,wlbFactPageUrl,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
1/2-U-1,1/2-U-1,OTHER,SOIL DRILLING,ConocoPhillips Skandinavia AS,143 ,BUCENTAUR,09.05.2009,09.05.2009,479-G1,111.0,3.0,74.0,NORTH SEA,2009,2009,, ,ED50  ,,,,56,56,55.58,N,2,27,5.01,E,56.9488,2.4514,6311958.73,466625.99,31,1,2,U,1,,,6148,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6148,04.06.2019,06.10.2015,17.09.2019
1/2-U-2,1/2-U-2,OTHER,SOIL DRILLING,ConocoPhillips Skandinavia AS,143 ,BUCENTAUR,12.05.2009,12.05.2009,479-G2,108.0,3.0,74.0,NORTH SEA,2009,2009,, ,ED50  ,,,,56,56,56.95,N,2,27,7.69,E,56.9492,2.4521,6312000.73,466671.62,31,1,2,U,2,,,6149,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6149,04.06.2019,06.10.2015,17.09.2019
1/2-U-3,1/2-U-3,OTHER,SOIL DRILLING,ConocoPhillips Skandinavia AS,143 ,BUCENTAUR,12.05.2009,12.05.2009,479-G3,107.0,3.0,74.0,NORTH SEA,2009,2009,, ,ED50  ,,,,56,56,54.99,N,2,27,8.52,E,56.9486,2.4524,6311940.01,466685.16,31,1,2,U,3,,,6150,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6150,04.06.2019,06.10.2015,17.09.2019
1/3-U-1,1/3-U-1,OTHER,SOIL DRILLING,BG Norge AS,274 BS,BUCENTAUR,10.10.2007,10.10.2007,411-G1,112.0,3.0,69.0,NORTH SEA,2007,2007,, ,ED50  ,,,,56,45,10.48,N,2,49,41.9,E,56.7529,2.8283,6290035.25,489500.39,31,1,3,U,1,,,5686,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5686,04.06.2019,06.10.2015,17.09.2019
1/3-U-2,1/3-U-2,OTHER,SOIL DRILLING,BG Norge AS,274 BS,BUCENTAUR,10.10.2007,10.10.2007,411-G2,107.0,3.0,69.0,NORTH SEA,2007,2007,, ,ED50  ,,,,56,45,8.33,N,2,49,41.91,E,56.7523,2.8283,6289968.77,489500.39,31,1,3,U,2,,,5687,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5687,04.06.2019,06.10.2015,17.09.2019
1/3-U-3,1/3-U-3,OTHER,SOIL DRILLING,BG Norge AS,274 BS,BUCENTAUR,10.10.2007,10.10.2007,411-G3,107.0,3.0,69.0,NORTH SEA,2007,2007,, ,ED50  ,,,,56,45,9.4,N,2,49,38.51,E,56.7526,2.8274,6290002.00,489442.72,31,1,3,U,3,,,5688,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5688,04.06.2019,06.10.2015,17.09.2019
1/3-U-4,1/3-U-4,OTHER,SOIL DRILLING,BG Norge AS,274 BS,BUCENTAUR,11.10.2007,11.10.2007,411-G4,104.0,3.0,69.0,NORTH SEA,2007,2007,, ,ED50  ,,,,56,45,12.43,N,2,49,43.54,E,56.7535,2.8288,6290095.48,489528.40,31,1,3,U,4,,,5690,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5690,04.06.2019,06.10.2015,17.09.2019
1/3-U-5,1/3-U-5,OTHER,SOIL DRILLING,BG Norge AS,274 BS,BUCENTAUR,11.10.2007,11.10.2007,411-G5,92.0,3.0,69.0,NORTH SEA,2007,2007,, ,ED50  ,,,,56,45,12.24,N,2,49,39.64,E,56.7534,2.8277,6290089.77,489462.14,31,1,3,U,5,,,5691,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5691,04.06.2019,06.10.2015,17.09.2019
1/3-U-10,1/3-U-10,OTHER,SOIL DRILLING,DONG E&P Norge AS,274 ,BUCENTAUR,01.03.2007,01.03.2007,389-G,106.0,3.6,72.0,NORTH SEA,2007,2007,,BP9202,ED50  ,,,,56,55,39.83,N,2,42,20.61,E,56.9277,2.7057,6309521.02,482087.93,31,1,3,U,10,,,5499,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5499,04.06.2019,06.10.2015,17.09.2019
1/3-U-11,1/3-U-11,OTHER,SOIL DRILLING,DONG E&P Norge AS,274 ,BUCENTAUR,02.03.2007,03.03.2007,390-G,106.0,3.6,71.6,NORTH SEA,2007,2007,,VGCNS04,ED50  ,,,,56,50,58.34,N,2,43,15.35,E,56.8495,2.7209,6300813.05,482977.95,31,1,3,U,11,,,5500,,https://npdfactpages.npd.no/Default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=5500,04.06.2019,06.10.2015,17.09.2019
