coor_ns;coor_ew;npd_id
56.887519;2.476583;1382
56.992222;2.496572;5192
56.855833;2.851389;154
56.936111;2.75;165
56.952378;2.981681;87
56.944225;2.716731;2
56.771117;2.894125;223
56.937478;2.705781;1521
56.940319;2.676281;2505
56.86865;2.889097;2829
56.982769;2.958703;3362
56.927739;2.705747;5614
56.927739;2.705747;5779
56.849575;2.720953;5806
56.753108;2.828781;6260
56.577917;2.641111;237
56.578219;2.641814;238
56.690144;2.615036;3257
56.708889;2.628056;4521
56.730006;2.645811;7874
56.634;2.997306;239
56.564056;2.864778;240
56.643444;2.930472;241
56.747794;2.706567;242
56.539325;2.801325;1508
56.611425;2.955053;1839
56.555558;2.903106;1928
56.401408;2.901803;243
56.401408;2.901803;1444
56.397992;2.926286;244
56.415467;2.904228;245
56.415467;2.904228;246
56.484378;2.933414;247
56.484378;2.933414;1727
56.491025;2.965353;248
56.484403;2.933372;44
56.484403;2.933372;1558
56.408675;2.881944;4652
56.757389;3.205222;249
56.958544;3.208908;250
56.911497;3.108442;251
56.911275;3.066906;48
56.79835;3.205942;63
56.920781;3.027325;109
56.864256;3.094544;137
56.894619;3.115542;459
56.860492;3.084658;1667
56.860492;3.084658;1867
56.964892;3.022139;1865
56.793133;3.066156;2699
56.870356;3.3129;3648
56.785972;3.041589;5975
56.904808;3.085106;5995
56.882817;3.213203;7219
56.850478;3.314636;7180
56.818375;3.138806;8851
56.787692;3.637672;46
56.944614;3.379669;80
56.79345;3.427261;3
56.794689;3.659572;1188
56.834944;3.456361;1846
56.804867;3.435414;6346
56.885961;3.860578;162
56.914917;3.8173;169
56.80525;3.969861;198
56.779336;3.807747;129
56.544508;3.198672;895
56.535736;3.198492;172
56.545033;3.248747;97
56.513306;3.210967;174
56.574233;3.203283;177
56.566778;3.085611;181
56.634833;3.27925;196
56.637667;3.315278;252
56.606167;3.085694;253
56.678222;3.222694;254
56.746083;3.222722;255
56.524056;3.143306;256
56.684439;3.145703;1313
56.684794;3.1453;1343
56.684794;3.1453;1440
56.684794;3.1453;1548
56.674236;3.144108;1371
56.674236;3.144108;4842
56.677008;3.150575;1702
56.677008;3.150575;1956
56.684056;3.229222;1792
56.699367;3.162289;2134
56.699367;3.162289;2253
56.565269;3.203831;257
56.611992;3.144467;5556
56.700225;3.142864;6736
56.700225;3.142864;6933
56.716167;3.167494;7535
56.690819;3.101931;7657
56.638875;3.335539;178
56.644889;3.372389;188
56.597444;3.449667;258
56.565111;3.615667;259
56.581778;3.430306;260
56.570344;3.621269;261
56.721303;3.366964;25
56.587917;3.4395;1308
56.535328;3.553731;1834
56.68935;3.490922;2044
56.68935;3.490922;2194
56.704508;3.383792;3084
56.721806;3.580781;4433
56.701;3.390833;5948
56.607161;3.434036;5959
56.607161;3.434036;5958
56.597778;3.915278;160
56.513583;3.711017;224
56.530367;3.823717;64
56.649803;3.789797;1527
56.593525;3.761869;2885
56.511314;3.913672;8560
56.429078;3.203947;179
56.266903;3.152511;187
56.383806;3.245722;262
56.464453;3.103333;263
56.478611;3.157778;264
56.418056;3.244611;265
56.367222;3.255556;266
56.385722;3.3185;267
56.330722;3.241472;268
56.475472;3.08325;269
56.330383;3.308092;270
56.495489;3.010103;271
56.492983;3.032883;272
56.488972;3.234069;116
56.488972;3.234069;1477
56.396339;3.315175;225
56.422689;3.094964;232
56.336944;3.101111;200
56.338433;3.103781;206
56.338639;3.103389;1367
56.338639;3.103389;1512
56.333361;3.248528;1062
56.333361;3.248528;1875
56.333236;3.248303;1394
56.333236;3.248303;1861
56.296181;3.158892;1495
56.333281;3.248231;1547
56.309167;3.323211;1613
56.333247;3.248306;1679
56.333219;3.248208;1756
56.333281;3.248269;1878
56.381156;3.238692;1906
56.312117;3.082022;2124
56.439581;3.27375;2394
56.336778;3.087611;3573
56.296444;3.449917;124
56.498014;3.476;155
56.308611;3.448361;117
56.298278;3.343906;273
56.499639;3.455472;275
56.261919;3.394669;276
56.447167;3.614056;277
56.280503;3.403531;278
56.297028;3.384444;279
56.264811;3.416336;280
56.282306;3.371003;1224
56.396889;3.437611;1351
56.389347;3.399328;1383
56.263592;3.356419;1552
56.418094;3.483044;2636
56.277986;3.395447;3008
56.455886;3.601439;3328
56.455886;3.601439;3210
56.377106;3.373636;6747
56.369967;3.666603;282
56.349072;3.933528;283
56.434272;3.797197;1443
56.274692;3.812764;5801
56.412639;3.918356;7502
56.125597;3.301856;284
56.219022;3.111561;2050
56.23805;3.451958;168
56.180889;3.423861;285
56.181594;3.464383;286
56.181594;3.464383;287
56.247325;3.388589;96
56.166028;3.435117;288
56.176528;3.4602;289
56.176528;3.4602;1668
56.235025;3.627456;902
56.135722;3.346289;1715
56.146997;3.454261;2153
56.176533;3.460061;2297
56.203264;3.390703;7712
56.169703;3.436817;8640
56.169703;3.436817;8639
56.234464;3.707639;1014
56.231744;3.704619;1416
56.681544;4.260858;2222
56.646456;4.093939;6622
56.623828;4.419992;290
56.542906;4.386417;291
56.583372;4.891764;4117
56.462083;4.002167;292
56.499547;4.068989;220
56.415214;4.181758;293
56.404333;4.239511;1467
56.479722;4.304889;1759
56.4304;4.300828;2891
56.402939;4.300872;5932
56.386283;4.233325;7058
56.439122;4.169653;7137
56.452972;4.079533;7749
56.363381;4.145722;8705
56.454703;4.418694;6476
56.635736;5.136536;7270
56.635736;5.136536;7273
57.9695;1.925106;450
57.907219;1.987275;862
57.797778;2.165556;192
57.932525;2.069672;5793
57.843125;2.748781;164
57.736644;2.194153;2136
57.50375;2.309217;5683
57.704594;2.204392;7121
57.4158;2.266594;1492
57.484489;2.304886;1868
57.461558;2.272489;2113
57.377169;2.267806;5570
57.322389;2.474667;158
57.394264;2.591725;294
57.258494;2.54605;28
57.257786;2.429508;448
57.250736;2.569697;5304
57.343639;2.855944;191
57.071;2.440111;149
57.070889;2.407361;156
57.049667;2.471889;159
57.125139;2.489278;167
57.135108;2.498203;42
57.116514;2.615322;86
57.069456;2.434672;57
57.069456;2.434672;519
57.213872;2.529583;30
57.203275;2.413939;856
57.120142;2.486267;1563
57.120142;2.486267;1681
57.126353;2.482967;5474
57.015142;2.603761;6655
57.015142;2.603761;6549
57.240753;2.442986;6955
57.100139;2.849167;157
57.111403;2.847511;295
57.111403;2.847511;454
57.106817;2.811544;296
57.106817;2.811544;297
57.093517;2.860267;298
57.093517;2.860267;518
57.163614;2.778431;299
57.121347;2.834483;281
57.108867;2.879797;1287
57.108867;2.879797;1413
57.083689;2.89785;1311
57.072644;2.882364;1470
57.182603;2.805131;1557
57.119642;2.975886;1787
57.111442;2.847425;2695
57.02235;2.856778;6727
57.862639;3.207678;301
57.986989;3.670358;142
57.901836;3.795947;89
57.747289;3.001072;302
57.562175;3.580464;7112
57.440911;3.850967;303
57.133622;3.065303;166
57.13525;3.302639;226
57.039881;3.283847;6098
57.064944;3.045444;6737
57.064944;3.045444;6755
57.064944;3.045444;6630
57.059067;3.113047;7419
57.059067;3.113047;7291
57.052756;3.0617;7485
57.115225;3.05875;8653
57.1152;3.058736;8619
57.108889;3.640278;304
57.221833;3.779203;193
57.893619;4.015561;6398
57.832806;4.524422;1038
57.878986;4.400192;1135
57.755611;4.370417;1294
57.818744;4.51965;2258
57.75425;4.355878;2599
57.818742;4.519708;2867
57.754208;4.356042;3087
57.818772;4.519722;3126
57.754219;4.355717;3703
57.816078;4.535461;6017
57.922628;4.559919;6341
57.874708;4.553228;8879
57.829219;4.766217;921
57.823831;4.711011;5173
57.583889;4.020278;150
57.686403;4.043014;176
57.615139;4.316028;152
57.700411;4.222442;305
57.677447;4.268992;5134
57.342769;4.336939;145
57.001117;4.009311;183
57.0115;4.527944;194
57.194444;4.955833;163
57.675011;5.155225;7724
57.581083;5.590278;306
57.473139;5.059225;1972
57.416669;5.572697;175
57.612853;6.606692;5596
57.275889;6.747944;307
57.012778;6.167972;170
58.755361;1.594606;308
58.849167;1.720347;309
58.983472;1.786833;310
58.983472;1.786833;311
58.818133;1.883283;314
58.786956;1.842808;52
58.773169;1.754139;3250
58.848492;1.752386;4055
58.857722;1.721389;5175
58.820567;1.772419;6354
58.819178;1.867328;8442
58.818914;1.867336;8489
58.584547;1.652319;315
58.643539;1.604578;316
58.643539;1.604578;1250
58.729981;1.636681;207
58.641258;1.552464;1762
58.717611;1.644281;2635
58.696097;1.650997;3113
58.556167;1.655361;5842
58.556167;1.655361;5946
58.546739;1.692444;197
58.54655;1.698358;317
58.54655;1.698358;517
58.5044;1.710969;318
58.626219;1.805539;319
58.508297;1.764094;320
58.52075;1.748139;38
58.589281;1.871961;2084
58.549328;1.882194;3077
58.549328;1.882194;3014
58.587142;1.743019;5566
58.587142;1.743019;5571
58.587142;1.743019;5494
58.682153;1.837567;6030
58.569061;1.702947;6526
58.569061;1.702947;6488
58.630142;1.737631;6518
58.615411;1.761272;7667
58.615411;1.761272;7668
58.615411;1.761272;7718
58.572044;1.696892;8293
58.676594;1.872831;8746
58.6707;1.717278;8747
58.363361;1.572864;321
58.415306;1.547194;6681
58.471944;1.753267;322
58.426128;1.707833;323
58.486122;1.694017;324
58.400072;1.785258;325
58.403464;1.708111;326
58.45375;1.692056;231
58.382242;1.712775;218
58.382169;1.774533;327
58.346614;1.890272;328
58.328589;1.772392;69
58.400703;1.894942;329
58.456436;1.717781;330
58.456436;1.717781;516
58.373878;1.934128;45
58.289775;1.691128;71
58.302069;1.922131;74
58.369436;1.878656;79
58.445608;1.948217;60
58.445608;1.948217;1768
58.350542;1.803408;36
58.435903;1.929736;3145
58.435903;1.929736;3251
58.435903;1.929736;2043
58.435903;1.929736;2105
58.435903;1.929736;3180
58.367192;1.908883;2319
58.417931;1.717936;3334
58.345114;1.681978;5174
58.27475;1.873111;6186
58.274306;1.982194;6381
58.175722;1.73975;94
58.141958;1.929797;331
58.243497;1.879353;199
58.052544;1.903225;438
58.081489;1.914789;113
58.077861;1.890392;1524
58.013869;1.976539;1680
58.050514;1.967614;1778
58.050514;1.967614;1835
58.077897;1.890486;1978
58.077911;1.890433;2285
58.202717;1.710939;3074
58.027967;1.924539;3391
58.034397;1.917936;4733
58.034397;1.917936;4754
58.034397;1.917936;4759
58.077908;1.890511;4845
58.045533;1.87305;5017
58.027886;1.924436;5271
58.028522;1.923183;5484
58.028522;1.923183;5442
58.214742;1.777897;5608
58.214742;1.777897;5607
58.003789;1.921211;5705
58.077925;1.890492;5824
58.227908;1.88245;6047
58.227908;1.88245;6139
58.203417;1.987333;6326
58.216883;1.884408;6327
58.216883;1.884408;6404
58.124097;1.922942;7661
